moda;perfil;grupo;afp;val_uf_pension_net;val_uf_comision_mensual
3b;rp;Mnivel3;AFP MODELO;14,79;0,18
3b;rp;Mnivel3;AFP CUPRUM;14,78;0,19
3b;rp;Mnivel3;AFP PROVIDA;14,78;0,19
3b;rp;Mnivel3;AFP CAPITAL;14,78;0,19
3b;rp;Mnivel3;AFP PLANVITAL;14,78;0,19
3b;rp;Mnivel4;AFP HABITAT;27,53;0,26
3b;rp;Mnivel4;AFP MODELO;27,46;0,33
3b;rp;Mnivel4;AFP PLANVITAL;27,44;0,35
3b;rp;Mnivel4;AFP PROVIDA;27,44;0,35
3b;rp;Mnivel4;AFP CAPITAL;27,44;0,35
3b;rp;Mnivel4;AFP CUPRUM;27,44;0,35
